Bundesland,Fälle,time,Besonders betroffene Gebiete in Deutschland,Todesfälle,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3
Baden-Württemberg,,20200325185510,,,,,6.069,+721,55,37
Bayern,,20200325185510,,,,,6.558,+804,50,37
Berlin,,20200325185510,,,,,1.428,+208,38,2
Brandenburg,,20200325185510,,,,,429,+86,17,1
Bremen,,20200325185510,,,,,200,+17,29,
Hamburg,,20200325185510,,,,,1.262,+219,69,
Hessen,,20200325185510,,,,,1.754,+134,28,4
Mecklenburg-Vorpommern,,20200325185510,,,,,218,+19,14,
Niedersachsen,,20200325185510,,,,,2.140,+376,27,7
Nordrhein-Westfalen,,20200325185510,Landkreis Heinsberg,,,,7.197,+879,40,43
Rheinland-Pfalz,,20200325185510,,,,,1.591,+221,39,5
Saarland,,20200325185510,,,,,403,+66,41,2
Sachsen,,20200325185510,,,,,959,+148,24,6
Sachsen-Anhalt,,20200325185510,,,,,375,+54,17,1
Schleswig-Holstein,,20200325185510,,,,,577,+99,20,3
Thüringen,,20200325185510,,,,,394,+67,18,1
Gesamt,,20200325185510,,,,,31.554,+4.118,38,149
,,20200326214604,,,,,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle
Baden-Württemberg,,20200326214604,,,,,7.283,+1.214,66,56
Bayern,,20200326214604,,,,,7.993,+1.435,61,47
Berlin,,20200326214604,,,,,1.656,+228,44,4
Brandenburg,,20200326214604,,,,,477,+48,19,1
Bremen,,20200326214604,,,,,211,+11,31,1
Hamburg,,20200326214604,,,,,1.265,+3*,69,
Hessen,,20200326214604,,,,,2.157,+403,34,6
Mecklenburg-Vorpommern,,20200326214604,,,,,244,+26,15,
Niedersachsen,,20200326214604,,,,,2.347,+207,29,8
Nordrhein-Westfalen,,20200326214604,Landkreis Heinsberg,,,,7.924,+727,44,53
Rheinland-Pfalz,,20200326214604,,,,,1.816,+225,44,6
Saarland,,20200326214604,,,,,433,+30,44,2
Sachsen,,20200326214604,,,,,1.141,+182,28,7
Sachsen-Anhalt,,20200326214604,,,,,418,+43,19,1
Schleswig-Holstein,,20200326214604,,,,,675,+98,23,3
Thüringen,,20200326214604,,,,,468,+74,22,3
Gesamt,,20200326214604,,,,,36.508,+4.954,44,198
,,20200327142512,,,,,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle
Baden-Württemberg,,20200327142512,,,,,8.161,+878,74,70
Bayern,,20200327142512,,,,,9.481,+1.488,73,55
Berlin,,20200327142512,,,,,1.955,+299,52,8
Brandenburg,,20200327142512,,,,,537,+60,21,1
Bremen,,20200327142512,,,,,241,+30,35,1
Hamburg,,20200327142512,,,,,1.693,+428*,92,2
Hessen,,20200327142512,,,,,2.323,+166,37,7
Mecklenburg-Vorpommern,,20200327142512,,,,,259,+15,16,
Niedersachsen,,20200327142512,,,,,2.810,+463,35,10
Nordrhein-Westfalen,,20200327142512,Landkreis Heinsberg,,,,9.235,+1.311,51,72
Rheinland-Pfalz,,20200327142512,,,,,1.971,+155,48,8
Saarland,,20200327142512,,,,,505,+72,51,2
Sachsen,,20200327142512,,,,,1.305,+164,32,7
Sachsen-Anhalt,,20200327142512,,,,,458,+40,21,2
Schleswig-Holstein,,20200327142512,,,,,812,+137,28,4
Thüringen,,20200327142512,,,,,542,+74,25,4
Gesamt,,20200327142512,,,,,42.288,+5.780,51,253
